time,Device,Device01,Device02,Device03,Device04,Device05,Device06,Device07,Device08,Device09,Device10,Device11,Device12,Device13,Device14,Device15,Device16,Device17,Device18,Device19,Device20
2.3506705,1.8932431e-11,20.380054,20.169852,20.086591,20.059872,20.055274,20.053145,21.561774,20.390102,20.144816,20.079711,20.058139,20.05259,22.164529,20.472176,20.156412,20.08768,20.058022,20.051999,20.050018,20.049644
2.3817941,2.0298978e-11,20.388927,20.174147,20.089021,20.061679,20.056965,20.054777,21.595976,20.399133,20.14849,20.081972,20.059897,20.054204,22.213311,20.48264,20.160152,20.090001,20.059726,20.053573,20.051549,20.051164
2.4129177,2.1528954e-11,20.396848,20.177591,20.090617,20.062654,20.057824,20.055578,21.627024,20.407211,20.151319,20.083399,20.060823,20.054986,22.254054,20.492075,20.163044,20.091486,20.060597,20.054316,20.052248,20.051853
2.4440413,2.3063561e-11,20.405975,20.182142,20.093298,20.064711,20.059764,20.057459,21.661605,20.416502,20.155247,20.08591,20.062831,20.056849,22.304141,20.502802,20.167036,20.094058,20.062551,20.05614,20.054028,20.053623
2.4751649,2.4432686e-11,20.413936,20.18571,20.095023,20.065815,20.060751,20.058386,21.692391,20.42477,20.158236,20.087473,20.063886,20.05776,22.34293,20.512291,20.170055,20.095672,20.063551,20.057012,20.054856,20.05444
2.5062884,2.6066291e-11,20.422773,20.190082,20.097534,20.067703,20.062521,20.060097,21.725828,20.433921,20.162021,20.089822,20.065725,20.059454,22.388992,20.522716,20.173872,20.098074,20.065336,20.058666,20.056466,20.05604
2.537412,2.7544024e-11,20.430802,20.193739,20.099345,20.068892,20.063594,20.06111,21.756131,20.442254,20.165097,20.091472,20.066866,20.06045,22.426556,20.532259,20.176976,20.099775,20.066422,20.059624,20.05738,20.056943
2.5685356,2.9325683e-11,20.439505,20.198125,20.101885,20.070808,20.065392,20.062849,21.785164,20.451121,20.168889,20.093848,20.068734,20.062173,22.466363,20.542414,20.1808,20.102202,20.068235,20.061307,20.059019,20.058572
2.5996592,3.1001466e-11,20.447611,20.201986,20.10391,20.072212,20.066678,20.064076,21.811783,20.459383,20.172161,20.095712,20.07009,20.063384,22.499434,20.551916,20.1841,20.104115,20.069536,20.062479,20.060147,20.059689
2.6307828,3.2864435e-11,20.45601,20.206125,20.106207,20.073887,20.068234,20.065574,21.839396,20.467936,20.175708,20.097847,20.071716,20.064865,22.535805,20.561735,20.187676,20.1063,20.071108,20.063921,20.061545,20.061077
2.6619063,3.4662503e-11,20.465431,20.210328,20.10822,20.075195,20.069418,20.066693,21.871585,20.477504,20.179196,20.099665,20.072968,20.065966,22.574814,20.573015,20.191328,20.108243,20.072321,20.064987,20.062563,20.062084
2.6930299,3.6709637e-11,20.475396,20.215033,20.110722,20.076991,20.071089,20.0683,21.905414,20.487608,20.183179,20.101973,20.074708,20.067553,22.618404,20.584877,20.195477,20.110677,20.074022,20.066541,20.064069,20.063579
2.7241535,3.8565402e-11,20.484433,20.21893,20.112436,20.078002,20.071975,20.069123,21.935912,20.496786,20.186361,20.103493,20.075663,20.068357,22.653342,20.595725,20.198823,20.112321,20.074938,20.06731,20.06479,20.064289
2.7552771,4.0790791e-11,20.492134,20.222967,20.114786,20.079772,20.073651,20.070735,21.959591,20.504748,20.189869,20.105693,20.077387,20.069946,22.682737,20.60473,20.202343,20.114571,20.076614,20.068863,20.066301,20.06579
2.7864007,4.2702709e-11,20.498571,20.225898,20.116056,20.080467,20.074253,20.071274,21.978969,20.511444,20.192279,20.106815,20.078036,20.070461,22.70129,20.612355,20.204762,20.11574,20.077216,20.069342,20.066738,20.066217
2.8175242,4.5102126e-11,20.506258,20.229955,20.118424,20.082254,20.075946,20.072904,22.002187,20.519375,20.195802,20.109033,20.079778,20.072068,22.729904,20.621325,20.208299,20.118007,20.078911,20.070913,20.068266,20.067736
2.8486478,4.731713e-11,20.513468,20.233478,20.120261,20.083516,20.077115,20.07401,22.025056,20.526788,20.198794,20.110723,20.080994,20.07315,22.757675,20.629895,20.211312,20.119747,20.080079,20.071959,20.06927,20.06873
2.8793931,4.9602139e-11,20.520685,20.23706,20.122174,20.08486,20.078367,20.0752,22.04778,20.534199,20.201848,20.112491,20.082292,20.074315,22.7859,20.638459,20.214388,20.121563,20.081331,20.073089,20.070359,20.069809
2.9101384,5.1992054e-11,20.528099,20.240833,20.124272,20.086388,20.079802,20.076573,22.070821,20.5418,20.20509,20.114443,20.083774,20.075665,22.814823,20.647233,20.217651,20.123565,20.082768,20.074404,20.071632,20.071072
2.9439582,5.448359e-11,20.535729,20.244574,20.126185,20.087677,20.080991,20.077694,22.091798,20.5495,20.208224,20.116191,20.085012,20.076758,22.836118,20.656058,20.220818,20.125369,20.083955,20.075458,20.072641,20.072071
2.977778,5.7184927e-11,20.543797,20.248731,20.128503,20.089369,20.082582,20.079217,22.113973,20.557631,20.211767,20.118343,20.086653,20.078253,22.860579,20.665353,20.224396,20.127578,20.085545,20.076916,20.074052,20.073472
3.0115978,5.9748689e-11,20.551493,20.25258,20.130519,20.090762,20.083873,20.08044,22.134735,20.565387,20.215004,20.120194,20.087993,20.079448,22.88169,20.674248,20.227667,20.129485,20.086836,20.078073,20.075164,20.074573
3.0454177,6.2415686e-11,20.559401,20.256617,20.132721,20.092339,20.08535,20.081848,22.156434,20.573253,20.218417,20.122228,20.089517,20.080827,22.90551,20.683395,20.231128,20.131578,20.088311,20.079415,20.076461,20.075859
3.0792375,6.4988251e-11,20.567141,20.260535,20.134805,20.0938,20.086709,20.083139,22.177364,20.580948,20.221709,20.124144,20.090923,20.082088,22.927533,20.692366,20.234468,20.133552,20.089669,20.08064,20.077641,20.077028
3.1130573,6.7591895e-11,20.574977,20.264564,20.136999,20.095369,20.088176,20.084537,22.198455,20.588731,20.225111,20.126169,20.092438,20.083458,22.950138,20.70144,20.237917,20.135635,20.091135,20.081973,20.078928,20.078305
3.1502591,7.0332347e-11,20.581981,20.268407,20.139167,20.096939,20.08963,20.085929,22.214587,20.595745,20.228418,20.128201,20.093963,20.08483,22.965778,20.709429,20.241164,20.137672,20.092596,20.083302,20.08021,20.079576
